# NETWORK	STATION	LOCATION	CHANNEL	STARTTIME	ENDTIME	LAT	LON	ELEVATION	DEPTH
TA	L29M	00	VHZ	2016-07-27 00:00:00	2599-12-31 23:59:59	63.109	-138.129	918	2
TA	L44A	00	VHZ	2011-10-10 00:00:00	2599-12-31 23:59:59	42.1782	-87.9119	202	0
TA	L61B	00	VHZ	2016-08-24 15:00:00	2599-12-31 23:59:59	42.4498	-72.6802	261	0
TA	M11K	00	VHZ	2017-05-24 00:00:00	2599-12-31 23:59:59	60.3849	-166.2011	3	2
TA	M13K	00	VHZ	2017-05-23 00:00:00	2599-12-31 23:59:59	60.4135	-163.35	9	2
TA	M14K	00	VHZ	2017-05-22 00:00:00	2599-12-31 23:59:59	60.7515	-161.96	19	2
TA	M15K	00	VHZ	2017-05-21 00:00:00	2599-12-31 23:59:59	60.6947	-160.6884	210	2
TA	M16K	00	VHZ	2017-05-12 00:00:00	2599-12-31 23:59:59	61.0224	-158.9593	394	2
TA	M17K	00	VHZ	2017-05-08 00:00:00	2599-12-31 23:59:59	61.4009	-157.4375	387	2
TA	M18K	00	VHZ	2017-05-09 00:00:00	2599-12-31 23:59:59	61.4907	-155.8242	289	2
TA	M19K	00	VHZ	2015-06-19 00:00:00	2599-12-31 23:59:59	61.9037	-154.3915	521	0
TA	M20K	00	VHZ	2015-08-25 19:00:00	2599-12-31 23:59:59	61.8823	-153.1318	1107	2
TA	M22K	00	VHZ	2016-10-06 21:20:00	2599-12-31 23:59:59	61.7531	-150.1205	57	2
TA	M23K	00	VHZ	2016-04-12 00:00:00	2599-12-31 23:59:59	61.7929	-147.7262	583	2
TA	M24K	00	VHZ	2014-08-02 00:00:00	2599-12-31 23:59:59	62.1067	-146.175	908	2.5
TA	M26K	00	VHZ	2015-07-12 00:00:00	2599-12-31 23:59:59	62.4013	-142.9963	888	1
TA	M27K	00	VHZ	2015-10-05 22:00:00	2599-12-31 23:59:59	62.3579	-141.878	1536	2
TA	M29M	00	VHZ	2016-07-26 00:00:00	2599-12-31 23:59:59	62.4435	-138.4624	1297	2
TA	M30M	00	VHZ	2015-10-18 00:00:00	2599-12-31 23:59:59	62.5763	-136.7935	782	2
TA	M31M	00	VHZ	2016-02-26 22:00:00	2599-12-31 23:59:59	62.2024	-134.3906	639	2
TA	M53A	00	VHZ	2013-01-14 00:00:00	2599-12-31 23:59:59	41.4393	-80.675	334	0
TA	M65A	00	VHZ	2012-03-30 00:00:00	2599-12-31 23:59:59	41.562	-70.6466	22	0
TA	MDND	00	VHZ	2011-07-13 00:00:00	2599-12-31 23:59:59	47.8481	-99.6029	479	0
TA	MSTX	00	VHZ	2015-11-23 19:35:00	2599-12-31 23:59:59	33.9696	-102.7724	1167	0
